,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
647, Netherlands,Eredivisie,(FEY),Steven Berghuis,24.0,0.0,2226,15,13.36,0.57,89.0,44.0,3.8,1.88,2020
648, Netherlands,Eredivisie,(CSK),Chidera Ejuke,24.0,1.0,2147,9,6.55,0.29,60.0,25.0,2.65,1.11,2020
649, Netherlands,Eredivisie,(AZA),Myron Boadu,24.0,0.0,2099,14,13.26,0.6,60.0,30.0,2.72,1.36,2020
650, Netherlands,Eredivisie,(AJA),Klaas-Jan Huntelaar,6.0,12.0,938,9,6.91,0.7,32.0,17.0,3.24,1.72,2020
651, Netherlands,Eredivisie,(WIL),Vangelis Pavlidis,25.0,0.0,2265,11,12.64,0.53,70.0,31.0,2.94,1.3,2020
652, Netherlands,Eredivisie,(EMM),Michael de Leeuw,26.0,0.0,2383,9,8.28,0.33,51.0,23.0,2.03,0.92,2020
653, Netherlands,Eredivisie,(PSV),Donyell Malen,14.0,0.0,1245,11,8.91,0.68,59.0,32.0,4.5,2.44,2020
654, Netherlands,Eredivisie,(RZA),Haris Vuckic,23.0,2.0,2194,11,6.0,0.26,38.0,17.0,1.65,0.74,2020
655, Netherlands,Eredivisie,(UTR),Gyrano Kerk,24.0,0.0,2155,10,7.49,0.33,50.0,18.0,2.2,0.79,2020
656, Netherlands,Eredivisie,(AJA),Quincy Promes,18.0,2.0,1573,12,9.77,0.59,56.0,30.0,3.38,1.81,2020
657, Netherlands,Eredivisie,(PSV),Denzel Dumfries,25.0,0.0,2363,7,5.72,0.23,45.0,14.0,1.81,0.56,2020
658, Netherlands,Eredivisie,None,Cyriel Dessers ,26.0,0.0,2461,15,14.51,0.56,84.0,43.0,3.24,1.66,2020
659, Netherlands,Eredivisie,(PSV),Cody Gakpo,14.0,11.0,1557,7,4.43,0.27,38.0,15.0,2.32,0.92,2020
660,,Bundesliga,,Anurag,,,1000,100,,,,,,,
